root_626,root_888,fafb_match,malecns_match,cell_type,super_class,neurotransmitter_predicted,sexually_dimorphic,region
720575941632875461,720575941632875461,720575940612341683,56710,AN01A021,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941486575426,720575941486575426,720575940626092302,15347,DNge082,descending,acetylcholine,isomorphic,central_brain
720575941580602869,720575941580602869,720575940619273398,29867,AN12B017,ascending,gaba,isomorphic,ventral_nerve_cord
720575941618637439,720575941618637439,720575940616835717,13489,AN08B018,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941513981433,720575941513981433,720575940625047479,12775,DNg26,descending,serotonin,isomorphic,central_brain
720575941483828154,720575941483828154,720575940615394527,22115,AN08B050,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941471768843,720575941471768843,720575940611237594,15491,DNpe028,descending,acetylcholine,isomorphic,central_brain
720575941411719279,720575941411719279,720575940615520159,28522,ANXXX169,ascending,glutamate,dimorphic,ventral_nerve_cord
720575941623193340,720575941623193340,720575940632815199,36691,ANXXX130,ascending,gaba,isomorphic,ventral_nerve_cord
720575941526661890,720575941479763050,720575940629752190,23067,AN09B019,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941566679598,720575941566679598,720575940622135757,23747,AN10B024,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941404874352,720575941404874352,720575940626557442,14157,DNge173,descending,acetylcholine,isomorphic,central_brain
720575941534222770,720575941534222770,720575940616293855,12069,DNp15,descending,acetylcholine,isomorphic,central_brain
720575941403937136,720575941460102384,720575940620492246,40732,AN08B015,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941574748681,720575941574748681,720575940606913202,21549,AN08B009,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941576660840,720575941576660840,720575940626117904,18513,AN02A005,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941557413284,720575941557413284,720575940639088216,15575,DNge030,descending,acetylcholine,isomorphic,central_brain
720575941461518035,720575941461518035,720575940633662871,18643,AN09B027,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941518794668,720575941518794668,720575940631662648,13499,DNge106,descending,acetylcholine,isomorphic,central_brain
720575941503553474,720575941503553474,720575940632680895,20530,AN05B024,ascending,gaba,isomorphic,ventral_nerve_cord
720575941433415200,720575941433415200,720575940615692690,12389,DNp60,descending,acetylcholine,isomorphic,central_brain
